event,time,pkgSize,numSuccessors
client_welcome,0.64,135,1
client_welcome,0.281,135,1
client_welcome,0.019,211,1
client_welcome,0.136,63,1
client_welcome,0.218,506,2
client_welcome,0.013,859,3
client_welcome,15.701,845,2
client_welcome,12.136,831,1
client_welcome,10.69,845,2
client_welcome,7.12,831,1
client_welcome,0.188,845,2
client_welcome,0.176,831,1
client_welcome,0.046,859,3
client_welcome,0.026,859,3
client_welcome,0.03,859,3
client_welcome,32.303,831,1
client_welcome,27.295,831,1
client_welcome,0.025,831,1
client_welcome,0.026,845,2
client_welcome,46.381,2109,1
client_welcome,41.361,2109,1
client_welcome,36.349,2109,1
client_welcome,31.335,2109,1
client_welcome,26.328,2109,1
client_welcome,21.322,2109,1
client_welcome,16.309,2109,1
client_welcome,0.036,2109,1
client_welcome,0.042,2109,1
client_welcome,0.072,2123,2
client_welcome,0.036,2123,2
client_welcome,0.029,2137,3
client_welcome,57.537,2123,2
client_welcome,55.996,2109,1
client_welcome,52.478,2123,2
client_welcome,50.988,2109,1
client_welcome,45.978,2109,1
client_welcome,40.967,2109,1
client_welcome,35.959,2109,1
client_welcome,30.945,2109,1
client_welcome,25.936,2109,1
client_welcome,20.928,2109,1
client_welcome,15.914,2109,1
client_welcome,10.899,2109,1
client_welcome,5.885,2109,1
client_welcome,0.016,2109,1
client_welcome,0.059,2123,2
client_welcome,90.746,1048736,2
client_welcome,85.681,1048736,2
client_welcome,80.71,1048736,2
client_welcome,75.7,1048736,2
client_welcome,45.151,63,1
client_welcome,70.685,1048736,2
client_welcome,40.141,63,1
client_welcome,65.671,1048736,2
client_welcome,35.135,63,1
client_welcome,60.659,1048736,2
client_welcome,30.128,63,1
client_welcome,55.644,1048736,2
client_welcome,25.12,63,1
client_welcome,50.637,1048736,2
client_welcome,20.095,63,1
client_welcome,45.627,1048736,2
client_welcome,15.104,63,1
client_welcome,40.62,1048736,2
client_welcome,10.094,63,1
client_welcome,35.613,1048736,2
client_welcome,5.082,63,1
client_welcome,30.603,1048736,2
client_welcome,0.071,63,1
client_welcome,25.589,1048736,2
client_welcome,20.581,1048736,2
client_welcome,15.562,1048736,2
client_welcome,10.546,1048736,2
client_welcome,5.532,1048736,2
client_welcome,1.419,1048820,8
client_welcome,11.764,1048736,2
client_welcome,13.127,1048736,2
client_welcome,6.758,1048736,2
client_welcome,8.114,1048736,2
client_welcome,0.528,1048736,2
client_welcome,1.195,1048736,2
client_welcome,13.33,1048722,1
client_welcome,8.317,1048722,1
client_welcome,0.61,1048722,1
client_welcome,0.306,1048736,2
client_welcome,0.733,1048750,3
client_welcome,11.795,1048736,2
client_welcome,12.317,1048722,1
client_welcome,6.78,1048736,2
client_welcome,7.476,1048722,1
client_welcome,0.727,1048736,2
client_welcome,0.615,1048722,1
client_welcome,0.785,1048750,3
client_welcome,11.144,4266,3
client_welcome,10.986,4252,2
client_welcome,6.13,4266,3
client_welcome,5.976,4252,2
client_welcome,0.039,4266,3
client_welcome,0.034,4252,2
client_welcome,0.028,4266,3
client_welcome,0.276,4280,4
client_welcome,0.104,4280,4
client_welcome,12.368,266626,2
client_welcome,11.956,266626,2
client_welcome,13.341,266640,3
client_welcome,7.354,266626,2
client_welcome,6.943,266626,2
client_welcome,8.33,266640,3
client_welcome,0.081,266626,2
client_welcome,0.185,266626,2
client_welcome,0.333,266640,3
client_welcome,12.162,266626,2
client_welcome,7.131,266626,2
client_welcome,0.193,266626,2
client_welcome,0.077,266626,2
client_welcome,0.248,266640,3
client_welcome,0.112,266654,4
client_welcome,0.508,266668,5
client_welcome,12.059,266762,1
client_welcome,12.634,266790,3
client_welcome,13.202,266776,2
client_welcome,13.615,266804,4
client_welcome,7.049,266762,1
client_welcome,7.625,266790,3
client_welcome,8.202,266776,2
client_welcome,8.615,266804,4
client_welcome,0.261,266762,1
client_welcome,0.834,266790,3
client_welcome,0.385,266776,2
client_welcome,0.798,266804,4
client_welcome,11.951,266776,2
client_welcome,13.262,266776,2
client_welcome,13.35,266790,3
client_welcome,6.941,266776,2
client_welcome,8.247,266776,2
client_welcome,8.337,266790,3
client_welcome,0.086,266776,2
client_welcome,0.288,266776,2
client_welcome,0.378,266790,3
client_welcome,0.523,267150,4
client_welcome,12.601,267122,2
client_welcome,13.507,267108,1
client_welcome,13.632,267136,3
client_welcome,7.436,267122,2
client_welcome,8.501,267108,1
client_welcome,8.626,267136,3
client_welcome,0.411,267122,2
client_welcome,0.465,267108,1
client_welcome,0.59,267136,3
client_welcome,11.332,267122,2
client_welcome,12.158,267108,1
client_welcome,6.314,267122,2
client_welcome,7.14,267108,1
client_welcome,0.207,267122,2
client_welcome,0.152,267108,1
client_welcome,0.175,267136,3
client_welcome,16.379,267122,2
client_welcome,16.212,267108,1
client_welcome,16.105,267108,1
client_welcome,11.365,267122,2
client_welcome,11.202,267108,1
client_welcome,0.131,267108,1
client_welcome,0.207,267122,2
client_welcome,0.102,267136,3
client_welcome,0.258,267150,4
client_welcome,12.406,283584,1
client_welcome,12.642,283612,3
client_welcome,13.476,283598,2
client_welcome,7.39,283584,1
client_welcome,7.624,283612,3
client_welcome,8.468,283598,2
client_welcome,0.285,283584,1
client_welcome,0.522,283612,3
client_welcome,0.279,283598,2
client_welcome,0.273,283626,4
client_welcome,12.519,283598,2
client_welcome,12.375,283598,2
client_welcome,13.651,283612,3
client_welcome,7.493,283598,2
client_welcome,7.36,283598,2
client_welcome,8.641,283612,3
client_welcome,0.382,283598,2
client_welcome,0.478,283598,2
client_welcome,0.545,283612,3
client_welcome,12.636,353368,1
client_welcome,13.563,353382,2
client_welcome,7.625,353368,1
client_welcome,8.549,353382,2
client_welcome,3.535,353382,2
client_welcome,0.602,353368,1
client_welcome,0.444,353382,2
client_welcome,0.141,354494,3
client_welcome,0.266,354494,3
client_welcome,0.097,63,1
client_welcome,0.025,77,2
client_welcome,0.013,91,3
client_welcome,0.041,105,4
client_welcome,12.573,77,2
client_welcome,11.888,63,1
client_welcome,7.559,77,2
client_welcome,6.855,63,1
client_welcome,8.46,91,3
client_welcome,3.451,91,3
client_welcome,0.023,63,1
client_welcome,0.029,77,2
client_welcome,0.023,91,3
client_welcome,0.026,105,4
client_welcome,12.85,63,1
client_welcome,12.928,105,4
client_welcome,13.74,77,2
client_welcome,14.371,105,4
client_welcome,7.843,63,1
client_welcome,7.911,105,4
client_welcome,8.73,77,2
client_welcome,9.362,105,4
client_welcome,0.321,63,1
client_welcome,0.854,105,4
client_welcome,0.333,77,2
client_welcome,0.964,105,4
client_welcome,0.036,644,5
client_welcome,12.098,602,2
client_welcome,11.646,616,3
client_welcome,13.148,602,2
client_welcome,13.174,630,4
client_welcome,7.087,602,2
client_welcome,6.629,616,3
client_welcome,8.135,602,2
client_welcome,8.161,630,4
client_welcome,0.026,602,2
client_welcome,0.05,616,3
client_welcome,0.09,602,2
client_welcome,0.115,630,4
client_welcome,11.347,588,1
client_welcome,12.872,602,2
client_welcome,12.902,616,3
client_welcome,6.333,588,1
client_welcome,7.86,602,2
client_welcome,7.89,616,3
client_welcome,0.035,588,1
client_welcome,0.048,602,2
client_welcome,0.076,616,3
client_welcome,0.03,630,4
client_welcome,12.405,602,2
client_welcome,13.423,588,1
client_welcome,13.459,616,3
client_welcome,7.394,602,2
client_welcome,8.409,588,1
client_welcome,8.445,616,3
client_welcome,0.044,602,2
client_welcome,0.059,588,1
client_welcome,0.096,616,3
client_welcome,0.023,630,4
client_welcome,10.457,588,1
client_welcome,5.44,588,1
client_welcome,0.043,588,1
client_welcome,0.034,418,2
client_welcome,0.046,432,3