event,operation,time,pkgSize,numSuccessors,version
rtt,add,26,109,2,2
rtt,add,12,109,2,3
rtt,add,31,121,1,2
rtt,add,84,372,2,3
rtt,add,47,114,2,5
rtt,add,18,1137,2,6
rtt,add,18,1137,2,7
rtt,add,20,4209,3,2
rtt,add,228,262266,3,3
rtt,add,3,262266,3,3
rtt,remove,10,116,3,5
rtt,add,18,180,5,7
rtt,remove,13,363,3,10
rtt,add,17,379,3,11
rtt,add,11,1150,3,12
rtt,add,32,16510,4,15
rtt,add,16,125,3,17
rtt,remove,146,165,3,18
rtt,add,93,65653,3,19
rtt,add,46,1150,2,20
rtt,add,349,121,2,2
rtt,remove,11,105,2,3
rtt,add,10,138,4,5
rtt,add,5,139,4,5
rtt,add,116,121,4,7
rtt,add,104,65652,1,8
rtt,add,17,133,1,10
rtt,remove,4,183,1,16