event,time,pkgSize
client_welcome,0.005,26
client_welcome,0.071,26
client_welcome,0.071,26
client_welcome,0.036,26
client_welcome,0.037,26
client_welcome,0.083,26
client_welcome,4.145,26
client_welcome,4.162,26
client_welcome,4.178,26
client_welcome,4.2,26
client_welcome,4.299,26
client_welcome,0.011,26
client_welcome,0.011,26
client_welcome,0.057,26
client_welcome,0.02,26
client_welcome,0.121,26
client_welcome,0.019,26
client_welcome,0.018,26
client_welcome,0.123,26
client_welcome,0.018,26
client_welcome,0.03,26
client_welcome,0.025,26
client_welcome,0.064,26
client_welcome,0.09,26
client_welcome,0.162,26
client_welcome,0.426,26
client_welcome,0.029,26
client_welcome,0.119,26
client_welcome,0.206,26
client_welcome,0.229,26
client_welcome,0.292,26
client_welcome,0.349,26
client_welcome,0.026,26
client_welcome,0.118,26
client_welcome,0.024,26
client_welcome,0.03,26
client_welcome,0.135,26
client_welcome,0.033,26
client_welcome,0.088,26
client_welcome,0.116,26
client_welcome,0.168,26
client_welcome,0.22,26
client_welcome,0.057,26
client_welcome,0.13,26
client_welcome,0.155,26
client_welcome,0.191,26
client_welcome,0.22,26
client_welcome,0.398,26
client_welcome,0.015,26
client_welcome,0.021,26
client_welcome,0.039,26
client_welcome,0.009,26
client_welcome,0.018,26
client_welcome,0.019,26
client_welcome,0.017,26
client_welcome,0.02,26
client_welcome,0.053,26
client_welcome,0.087,26
client_welcome,0.109,26
client_welcome,0.026,26
client_welcome,3.822,26
client_welcome,3.822,26
client_welcome,3.835,26
client_welcome,3.899,26
client_welcome,3.991,26
client_welcome,4.107,26